Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Latitude,Longitude,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Số tầng,Nội thất
78 m²,"3,3 tỷ","6,5 m","5,5 m",Sổ đỏ/ Sổ hồng,16.054202420009,108.183227860419,Tây,,,,,
100 m²,"4,6 tỷ",,"7,5 m",Sổ đỏ/ Sổ hồng,16.029903411865234,108.24016571044922,Tây - Nam,,,,,
70 m²,"6,6 tỷ",,,,16.0688602774422,108.234083648438,,,2 phòng,,2 tầng,
256 m²,13 tỷ,,,,16.016135886534,108.218003161655,Tây,,,,,
6.106 m²,62 triệu/m²,,,,16.0433162576022,108.210309078912,,,,,,
70 m²,"16,5 tỷ","6,3 m","10,5 m",Sổ đỏ/ Sổ hồng,16.0628848,108.2206714,,,,,3 tầng,Không nội thất.
552 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.01702308654785,108.26024627685547,,,2 phòng,,,Đầy đủ
140 m²,"13,5 tỷ",,"7,5 m",Sổ đỏ/ Sổ hồng,16.0222877,108.2107678,,,26 phòng,26 phòng,5 tầng,Đầy đủ.
100 m²,"7,4 tỷ",5 m,,Sổ đỏ/ Sổ hồng.,16.0252846,108.2474858,,,3 phòng,,5 tầng,Đầy đủ
519 m²,39 tỷ,,"5,5 m",Sổ đỏ/ Sổ hồng.,16.0783341392075,108.236459969098,Tây - Nam,,,,3 tầng,Đầy đủ
300 m²,"17,5 tỷ",12 m,,Sổ đỏ/ Sổ hồng,16.1053289,108.263098,,,4 phòng,4 phòng,3 tầng,Đầy đủ
140 m²,"35,5 tỷ",7 m,,Sổ đỏ/ Sổ hồng.,16.0469939143198,108.249581094904,,,,,3 tầng,
140 m²,"35,5 tỷ",7 m,,Sổ đỏ/ Sổ hồng.,16.0469939143198,108.249581094904,,,,,3 tầng,
"124,6 m²","10,5 tỷ",6 m,,Sổ đỏ/ Sổ hồng,21.0289486097874,105.852447225903,,,,,,
100 m²,"6,5 tỷ",5 m,75 m,Sổ đỏ/ Sổ hồng,16.029903411865234,108.24016571044922,,,3 phòng,,3 tầng,Đầy đủ.
95 m²,"4,2 tỷ",5 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0299034118652,108.240165710449,Tây - Nam,,,,,
170 m²,"1,95 tỷ",3 m,3 m,,21.0289486097874,105.852447225903,Đông - Bắc,Đông - Bắc,2 phòng,1 phòng,1 tầng,
513 m²,230 tỷ,,,,16.0672786465078,108.244776586877,Đông,,,,17 tầng,
96 m²,"5,8 tỷ",,"5,5 m",Sổ đỏ/ Sổ hồng,16.0379917876566,108.237723699657,Tây - Bắc,,3 phòng,2 phòng,2 tầng,Cơ bản
88 m²,Thỏa thuận,5 m,"10,5 m",Sổ đỏ/ Sổ hồng,16.0699536957891,108.243287978141,Đông,Đông,14 phòng,15 phòng,7 tầng,Đầy đủ.
100 m²,"1,98 tỷ",5 m,"5,5 m",Sổ đỏ/ Sổ hồng,15.9991847330489,108.223806873948,Đông - Bắc,,,,,
